setting_decade,percent
1910s,20.221606648199447
1940s,14.681440443213297
1970s,8.587257617728532
1960s,8.033240997229916
1950s,7.756232686980609
1980s,6.9252077562326875
1930s,6.3711911357340725
1860s,5.8171745152354575
1920s,3.32409972299169
1990s,3.0470914127423825
2000s,2.7700831024930745
1890s,2.21606648199446
1870s,1.3850415512465373
1850s,1.3850415512465373
1900s,1.10803324099723
1800s,1.10803324099723
1820s,0.8310249307479225
1830s,0.8310249307479225
1810s,0.554016620498615
1780s,0.554016620498615
1840s,0.2770083102493075
1880s,0.2770083102493075
1750s,0.2770083102493075
1790s,0.2770083102493075
1760s,0.2770083102493075
1690s,0.2770083102493075
1660s,0.2770083102493075
1640s,0.2770083102493075
1740s,0.2770083102493075
